,day,infected,type,stat,type_pretty
420,54.0,-0.9438,infected,left,0%
421,55.0,-1.0382000000000002,infected,left,0%
422,56.0,-1.1557,infected,left,0%
423,57.0,-0.3832,infected,left,0%
424,58.0,-0.5266,infected,left,0%
425,59.0,-0.4525000000000001,infected,left,0%
426,60.0,-0.6278999999999999,infected,left,0%
427,0.0,0.0,infected,left,10%
428,1.0,0.0,infected,left,10%
429,2.0,-0.0265,infected,left,10%
430,3.0,-0.05800000000000001,infected,left,10%
431,4.0,-0.05100000000000002,infected,left,10%
432,5.0,-0.05059999999999998,infected,left,10%
433,6.0,-0.11880000000000002,infected,left,10%
434,7.0,-0.10719999999999996,infected,left,10%
435,8.0,-0.08330000000000004,infected,left,10%
436,9.0,-0.13580000000000003,infected,left,10%
437,10.0,-0.18630000000000013,infected,left,10%
438,11.0,-0.36019999999999985,infected,left,10%
439,12.0,-0.4735999999999998,infected,left,10%
440,13.0,-0.4758,infected,left,10%
441,14.0,-0.48670000000000035,infected,left,10%
442,15.0,-0.17420000000000013,infected,left,10%
443,16.0,-0.34329999999999994,infected,left,10%
444,17.0,-0.38659999999999983,infected,left,10%
445,18.0,-0.48340000000000005,infected,left,10%
446,19.0,-0.4158999999999997,infected,left,10%
447,20.0,-0.28310000000000013,infected,left,10%
448,21.0,-0.3926999999999996,infected,left,10%
449,22.0,-0.40070000000000006,infected,left,10%
450,23.0,-0.46560000000000024,infected,left,10%
451,24.0,-0.5042,infected,left,10%
452,25.0,-0.6061999999999999,infected,left,10%
453,26.0,-0.8664000000000001,infected,left,10%
454,27.0,-1.069,infected,left,10%
455,28.0,-1.194,infected,left,10%
456,29.0,-0.4455,infected,left,10%
457,30.0,-0.38470000000000004,infected,left,10%
458,31.0,-0.4668000000000001,infected,left,10%
459,32.0,-0.36599999999999966,infected,left,10%
460,33.0,-0.3658000000000001,infected,left,10%
461,34.0,-0.17940000000000023,infected,left,10%
462,35.0,-0.008099999999999774,infected,left,10%
463,36.0,-0.05790000000000006,infected,left,10%
464,37.0,-0.10230000000000006,infected,left,10%
465,38.0,-0.1867000000000001,infected,left,10%
466,39.0,-0.3418000000000001,infected,left,10%
467,40.0,-0.48919999999999986,infected,left,10%
468,41.0,-0.8111000000000002,infected,left,10%
469,42.0,-0.5215000000000001,infected,left,10%
470,43.0,-0.45019999999999993,infected,left,10%
471,44.0,-0.47040000000000015,infected,left,10%
472,45.0,-0.48560000000000025,infected,left,10%
473,46.0,-0.5798000000000001,infected,left,10%
474,47.0,-0.5978000000000003,infected,left,10%
475,48.0,-0.7948999999999997,infected,left,10%
476,49.0,-0.7115999999999998,infected,left,10%
477,50.0,-0.07560000000000011,infected,left,10%
478,51.0,-0.2279,infected,left,10%
479,52.0,-0.09949999999999992,infected,left,10%
480,53.0,-0.20510000000000028,infected,left,10%
481,54.0,-0.12480000000000002,infected,left,10%
482,55.0,-0.2307999999999999,infected,left,10%
483,56.0,-0.11529999999999996,infected,left,10%
484,57.0,-0.3500000000000001,infected,left,10%
485,58.0,-0.5014000000000001,infected,left,10%
486,59.0,-0.5147000000000002,infected,left,10%
487,60.0,-0.46099999999999985,infected,left,10%
488,0.0,0.0,infected,left,40%
489,1.0,0.0,infected,left,40%
490,2.0,-0.005000000000000001,infected,left,40%
491,3.0,-0.025599999999999998,infected,left,40%
492,4.0,-0.0514,infected,left,40%
493,5.0,-0.018900000000000028,infected,left,40%
494,6.0,-0.0822,infected,left,40%
495,7.0,-0.11600000000000005,infected,left,40%
496,8.0,-0.11470000000000002,infected,left,40%
497,9.0,-0.1513,infected,left,40%
498,10.0,-0.14530000000000004,infected,left,40%
499,11.0,-0.2577999999999999,infected,left,40%
500,12.0,-0.2512,infected,left,40%
501,13.0,-0.32689999999999997,infected,left,40%
502,14.0,-0.27339999999999987,infected,left,40%
503,15.0,-0.3501,infected,left,40%
504,16.0,-0.3538,infected,left,40%
505,17.0,-0.2731,infected,left,40%
506,18.0,-0.15359999999999996,infected,left,40%
507,19.0,-0.1803999999999999,infected,left,40%
508,20.0,-0.2136,infected,left,40%
509,21.0,-0.2912999999999999,infected,left,40%
510,22.0,-0.2926000000000001,infected,left,40%
