,day,infected,type,type_pretty
143,21.0,33.6935,Infected,40%
144,22.0,30.012,Infected,40%
145,23.0,28.142300000000002,Infected,40%
146,24.0,26.2905,Infected,40%
147,25.0,24.715399999999995,Infected,40%
148,26.0,22.964000000000002,Infected,40%
149,27.0,21.0781,Infected,40%
150,28.0,19.4869,Infected,40%
151,29.0,14.160199999999996,Infected,40%
152,30.0,13.9419,Infected,40%
153,31.0,13.5531,Infected,40%
154,32.0,13.479000000000001,Infected,40%
155,33.0,13.5611,Infected,40%
156,34.0,13.667399999999999,Infected,40%
157,35.0,13.392800000000001,Infected,40%
158,36.0,11.364600000000001,Infected,40%
159,37.0,11.454900000000002,Infected,40%
160,38.0,11.5391,Infected,40%
161,39.0,11.8216,Infected,40%
162,40.0,12.062100000000001,Infected,40%
163,41.0,12.3187,Infected,40%
164,42.0,12.356599999999998,Infected,40%
165,43.0,11.252500000000001,Infected,40%
166,44.0,11.178300000000002,Infected,40%
167,45.0,11.2285,Infected,40%
168,46.0,11.176300000000003,Infected,40%
169,47.0,11.140099999999999,Infected,40%
170,48.0,11.154200000000001,Infected,40%
171,49.0,10.8897,Infected,40%
172,50.0,9.935799999999999,Infected,40%
173,51.0,9.7414,Infected,40%
174,52.0,9.6633,Infected,40%
175,53.0,9.572999999999999,Infected,40%
176,54.0,9.4329,Infected,40%
177,55.0,9.2646,Infected,40%
178,56.0,9.028099999999998,Infected,40%
179,57.0,8.142299999999999,Infected,40%
180,58.0,8.1221,Infected,40%
181,59.0,8.0682,Infected,40%
182,60.0,7.954,Infected,40%
183,0.0,0.0,Infected,70%
184,1.0,0.0,Infected,70%
185,2.0,0.5591,Infected,70%
186,3.0,1.3467,Infected,70%
187,4.0,2.5991999999999997,Infected,70%
188,5.0,4.1863,Infected,70%
189,6.0,5.9197999999999995,Infected,70%
190,7.0,7.2745,Infected,70%
191,8.0,8.304599999999999,Infected,70%
192,9.0,9.689200000000001,Infected,70%
193,10.0,11.226500000000001,Infected,70%
194,11.0,12.978,Infected,70%
195,12.0,14.831600000000002,Infected,70%
196,13.0,16.6955,Infected,70%
197,14.0,17.785600000000006,Infected,70%
198,15.0,18.008,Infected,70%
199,16.0,18.408900000000003,Infected,70%
200,17.0,18.8257,Infected,70%
201,18.0,19.236500000000003,Infected,70%
202,19.0,19.6673,Infected,70%
203,20.0,20.204399999999996,Infected,70%
204,21.0,19.9419,Infected,70%
205,22.0,18.7917,Infected,70%
206,23.0,18.4869,Infected,70%
207,24.0,18.0841,Infected,70%
208,25.0,17.7375,Infected,70%
209,26.0,17.3146,Infected,70%
210,27.0,17.0281,Infected,70%
211,28.0,16.292600000000004,Infected,70%
212,29.0,14.412799999999999,Infected,70%
213,30.0,13.976,Infected,70%
214,31.0,13.4468,Infected,70%
215,32.0,13.0701,Infected,70%
216,33.0,12.7496,Infected,70%
217,34.0,12.4369,Infected,70%
218,35.0,12.0141,Infected,70%
219,36.0,10.444799999999999,Infected,70%
220,37.0,10.138199999999998,Infected,70%
221,38.0,9.8377,Infected,70%
222,39.0,9.7155,Infected,70%
223,40.0,9.6675,Infected,70%
224,41.0,9.7115,Infected,70%
225,42.0,9.368799999999998,Infected,70%
226,43.0,8.374799999999999,Infected,70%
227,44.0,8.3167,Infected,70%
228,45.0,8.2264,Infected,70%
229,46.0,8.256599999999999,Infected,70%
230,47.0,8.290600000000001,Infected,70%
231,48.0,8.294599999999999,Infected,70%
232,49.0,8.260399999999999,Infected,70%
233,50.0,7.7375,Infected,70%
234,51.0,7.581099999999999,Infected,70%
235,52.0,7.488900000000001,Infected,70%
236,53.0,7.4468,Infected,70%
237,54.0,7.5832,Infected,70%
238,55.0,7.6513,Infected,70%
239,56.0,7.563199999999999,Infected,70%
240,57.0,6.877800000000001,Infected,70%
241,58.0,6.7634,Infected,70%
242,59.0,6.677399999999999,Infected,70%
243,60.0,6.715400000000001,Infected,70%
