,day,final_infected,type_pretty
7014,60,250,0%
7075,60,250,0%
7136,60,229,0%
7197,60,234,0%
7258,60,241,0%
7319,60,247,0%
7380,60,250,0%
7441,60,245,0%
7502,60,256,0%
7563,60,249,0%
7624,60,237,0%
7685,60,240,0%
7746,60,259,0%
7807,60,245,0%
7868,60,250,0%
7929,60,260,0%
7990,60,246,0%
8051,60,239,0%
8112,60,236,0%
8173,60,235,0%
8234,60,248,0%
8295,60,254,0%
8356,60,254,0%
8417,60,244,0%
8478,60,236,0%
8539,60,245,0%
8600,60,258,0%
8661,60,233,0%
8722,60,246,0%
8783,60,232,0%
8844,60,248,0%
8905,60,235,0%
8966,60,248,0%
9027,60,241,0%
9088,60,247,0%
9149,60,240,0%
9210,60,235,0%
9271,60,230,0%
9332,60,260,0%
9393,60,244,0%
9454,60,241,0%
9515,60,236,0%
9576,60,250,0%
9637,60,242,0%
9698,60,235,0%
9759,60,240,0%
9820,60,223,0%
9881,60,257,0%
9942,60,245,0%
10003,60,232,0%
10064,60,247,0%
10125,60,234,0%
10186,60,249,0%
10247,60,236,0%
10308,60,227,0%
10369,60,236,0%
10430,60,246,0%
10491,60,233,0%
10552,60,243,0%
10613,60,254,0%
10674,60,230,0%
10735,60,251,0%
10796,60,250,0%
10857,60,252,0%
10918,60,255,0%
10979,60,235,0%
11040,60,234,0%
11101,60,237,0%
11162,60,245,0%
11223,60,231,0%
11284,60,238,0%
11345,60,250,0%
11406,60,237,0%
11467,60,245,0%
11528,60,245,0%
11589,60,238,0%
11650,60,242,0%
11711,60,240,0%
11772,60,254,0%
11833,60,247,0%
11894,60,236,0%
11955,60,240,0%
12016,60,249,0%
12077,60,239,0%
12138,60,255,0%
12199,60,243,0%
12260,60,259,0%
12321,60,246,0%
12382,60,240,0%
12443,60,234,0%
12504,60,252,0%
12565,60,257,0%
12626,60,237,0%
12687,60,244,0%
12748,60,233,0%
12809,60,251,0%
12870,60,260,0%
12931,60,240,0%
12992,60,245,0%
13053,60,244,0%
13114,60,247,0%
13175,60,229,0%
13236,60,250,0%
13297,60,231,0%
13358,60,245,0%
13419,60,234,0%
13480,60,251,0%
13541,60,246,0%
13602,60,240,0%
13663,60,242,0%
13724,60,233,0%
13785,60,263,0%
13846,60,239,0%
13907,60,237,0%
13968,60,244,0%
14029,60,251,0%
14090,60,241,0%
14151,60,257,0%
14212,60,248,0%
14273,60,238,0%
14334,60,248,0%
14395,60,218,0%
14456,60,250,0%
14517,60,258,0%
14578,60,247,0%
14639,60,252,0%
14700,60,228,0%
14761,60,259,0%
14822,60,254,0%
14883,60,246,0%
14944,60,235,0%
15005,60,256,0%
15066,60,233,0%
15127,60,244,0%
15188,60,236,0%
15249,60,249,0%
15310,60,249,0%
15371,60,255,0%
15432,60,254,0%
15493,60,249,0%
15554,60,254,0%
15615,60,247,0%
15676,60,231,0%
15737,60,243,0%
15798,60,250,0%
15859,60,228,0%
15920,60,246,0%
15981,60,222,0%
16042,60,245,0%
16103,60,253,0%
16164,60,249,0%
16225,60,232,0%
16286,60,237,0%
16347,60,246,0%
16408,60,248,0%
16469,60,232,0%
16530,60,259,0%
16591,60,263,0%
16652,60,243,0%
16713,60,256,0%
16774,60,256,0%
16835,60,258,0%
16896,60,244,0%
16957,60,254,0%
17018,60,251,0%
17079,60,224,0%
