,day,slope,type,type_pretty
74,13.0,5.481049999999996,Total infected derivative,10%
75,14.0,5.4247999999999905,Total infected derivative,10%
76,15.0,7.388699999999986,Total infected derivative,10%
77,16.0,8.876799999999989,Total infected derivative,10%
78,17.0,9.721450000000019,Total infected derivative,10%
79,18.0,10.58110000000002,Total infected derivative,10%
80,19.0,9.362750000000005,Total infected derivative,10%
81,20.0,6.645250000000004,Total infected derivative,10%
82,21.0,5.987949999999984,Total infected derivative,10%
83,22.0,6.907899999999998,Total infected derivative,10%
84,23.0,7.759450000000015,Total infected derivative,10%
85,24.0,7.970899999999986,Total infected derivative,10%
86,25.0,7.804700000000011,Total infected derivative,10%
87,26.0,6.774550000000005,Total infected derivative,10%
88,27.0,4.919799999999967,Total infected derivative,10%
89,28.0,4.286600000000007,Total infected derivative,10%
90,29.0,4.671250000000015,Total infected derivative,10%
91,30.0,4.891799999999989,Total infected derivative,10%
92,31.0,4.799749999999989,Total infected derivative,10%
93,32.0,4.594200000000001,Total infected derivative,10%
94,33.0,3.9769000000000148,Total infected derivative,10%
95,34.0,2.9157500000000027,Total infected derivative,10%
96,35.0,2.402799999999999,Total infected derivative,10%
97,36.0,2.518250000000009,Total infected derivative,10%
98,37.0,2.56219999999999,Total infected derivative,10%
99,38.0,2.4448000000000008,Total infected derivative,10%
100,39.0,2.560200000000009,Total infected derivative,10%
101,40.0,2.2654999999999887,Total infected derivative,10%
102,41.0,1.5831500000000034,Total infected derivative,10%
103,42.0,1.415850000000006,Total infected derivative,10%
104,43.0,1.5310499999999791,Total infected derivative,10%
105,44.0,1.5540999999999912,Total infected derivative,10%
106,45.0,1.582099999999997,Total infected derivative,10%
107,46.0,1.607200000000006,Total infected derivative,10%
108,47.0,1.3406000000000233,Total infected derivative,10%
109,48.0,0.9479000000000042,Total infected derivative,10%
110,49.0,0.8577499999999816,Total infected derivative,10%
111,50.0,0.9027999999999992,Total infected derivative,10%
112,51.0,0.9418500000000165,Total infected derivative,10%
113,52.0,0.9699500000000114,Total infected derivative,10%
114,53.0,0.962050000000005,Total infected derivative,10%
115,54.0,0.8255999999999943,Total infected derivative,10%
116,55.0,0.56604999999999,Total infected derivative,10%
117,56.0,0.48799999999999955,Total infected derivative,10%
118,57.0,0.5280999999999949,Total infected derivative,10%
119,58.0,0.5091000000000037,Total infected derivative,10%
120,59.0,0.4871000000000265,Total infected derivative,10%
121,60.0,,Total infected derivative,10%
122,0.0,0.05809999999996762,Total infected derivative,40%
123,1.0,0.1122500000000457,Total infected derivative,40%
124,2.0,0.32970000000000255,Total infected derivative,40%
125,3.0,0.6452499999999475,Total infected derivative,40%
126,4.0,1.0942500000000166,Total infected derivative,40%
127,5.0,1.1824499999999887,Total infected derivative,40%
128,6.0,0.8525999999999954,Total infected derivative,40%
129,7.0,1.1513000000000488,Total infected derivative,40%
130,8.0,2.046149999999983,Total infected derivative,40%
131,9.0,2.899799999999942,Total infected derivative,40%
132,10.0,3.7655000000000314,Total infected derivative,40%
133,11.0,4.659200000000027,Total infected derivative,40%
134,12.0,4.378749999999968,Total infected derivative,40%
135,13.0,3.2445999999999913,Total infected derivative,40%
136,14.0,3.441900000000004,Total infected derivative,40%
137,15.0,4.801600000000036,Total infected derivative,40%
138,16.0,6.086200000000034,Total infected derivative,40%
139,17.0,6.80259999999997,Total infected derivative,40%
140,18.0,7.201349999999991,Total infected derivative,40%
141,19.0,6.3967500000000115,Total infected derivative,40%
142,20.0,4.6723499999999945,Total infected derivative,40%
143,21.0,4.5140499999999975,Total infected derivative,40%
144,22.0,5.28564999999999,Total infected derivative,40%
145,23.0,5.867650000000012,Total infected derivative,40%
146,24.0,6.4798000000000116,Total infected derivative,40%
147,25.0,6.71044999999998,Total infected derivative,40%
148,26.0,5.7394999999999925,Total infected derivative,40%
149,27.0,4.233450000000005,Total infected derivative,40%
150,28.0,3.8678500000000042,Total infected derivative,40%
151,29.0,4.303599999999975,Total infected derivative,40%
152,30.0,4.662299999999988,Total infected derivative,40%
153,31.0,4.779550000000015,Total infected derivative,40%
154,32.0,4.787600000000012,Total infected derivative,40%
155,33.0,4.065300000000008,Total infected derivative,40%
156,34.0,2.830600000000004,Total infected derivative,40%
157,35.0,2.41279999999999,Total infected derivative,40%
158,36.0,2.5951999999999913,Total infected derivative,40%
159,37.0,2.6732999999999976,Total infected derivative,40%
160,38.0,2.597200000000001,Total infected derivative,40%
161,39.0,2.6102000000000203,Total infected derivative,40%
162,40.0,2.2815999999999974,Total infected derivative,40%
163,41.0,1.6082499999999982,Total infected derivative,40%
164,42.0,1.3166500000000099,Total infected derivative,40%
165,43.0,1.321649999999991,Total infected derivative,40%
166,44.0,1.326599999999985,Total infected derivative,40%
167,45.0,1.3196000000000083,Total infected derivative,40%
168,46.0,1.2784500000000065,Total infected derivative,40%
169,47.0,1.0981999999999914,Total infected derivative,40%
170,48.0,0.825800000000001,Total infected derivative,40%
171,49.0,0.7203999999999979,Total infected derivative,40%
172,50.0,0.8025500000000108,Total infected derivative,40%
173,51.0,0.9059000000000026,Total infected derivative,40%
174,52.0,0.8837999999999795,Total infected derivative,40%
175,53.0,0.785499999999999,Total infected derivative,40%
176,54.0,0.6573000000000206,Total infected derivative,40%
177,55.0,0.48400000000000887,Total infected derivative,40%
178,56.0,0.4028499999999866,Total infected derivative,40%
179,57.0,0.4708999999999861,Total infected derivative,40%
180,58.0,0.5421000000000049,Total infected derivative,40%
181,59.0,0.561300000000017,Total infected derivative,40%
182,60.0,,Total infected derivative,40%
183,0.0,0.04809999999997672,Total infected derivative,70%
184,1.0,0.0791499999999985,Total infected derivative,70%
185,2.0,0.17635000000001355,Total infected derivative,70%
186,3.0,0.3316499999999962,Total infected derivative,70%
187,4.0,0.5431999999999846,Total infected derivative,70%
188,5.0,0.6052499999999839,Total infected derivative,70%
189,6.0,0.4947999999999979,Total infected derivative,70%
190,7.0,0.671400000000034,Total infected derivative,70%
191,8.0,1.1433000000000106,Total infected derivative,70%
192,9.0,1.6411999999999978,Total infected derivative,70%
193,10.0,2.0822000000000003,Total infected derivative,70%
194,11.0,2.569049999999976,Total infected derivative,70%
195,12.0,2.4399500000000387,Total infected derivative,70%
196,13.0,1.7386500000000638,Total infected derivative,70%
197,14.0,1.930800000000005,Total infected derivative,70%
198,15.0,2.7133499999999344,Total infected derivative,70%
199,16.0,3.3406999999999414,Total infected derivative,70%
200,17.0,3.8648500000000183,Total infected derivative,70%
201,18.0,4.329649999999987,Total infected derivative,70%
202,19.0,3.8926999999999907,Total infected derivative,70%
203,20.0,2.7585000000000406,Total infected derivative,70%
204,21.0,2.646400000000014,Total infected derivative,70%
205,22.0,3.3036500000000046,Total infected derivative,70%
206,23.0,3.802499999999995,Total infected derivative,70%
207,24.0,4.193450000000013,Total infected derivative,70%
208,25.0,4.546099999999996,Total infected derivative,70%
209,26.0,4.083149999999989,Total infected derivative,70%
210,27.0,2.9287999999999954,Total infected derivative,70%
211,28.0,2.6451999999999884,Total infected derivative,70%
212,29.0,3.131350000000012,Total infected derivative,70%
213,30.0,3.4569999999999936,Total infected derivative,70%
214,31.0,3.547050000000013,Total infected derivative,70%
215,32.0,3.56904999999999,Total infected derivative,70%
216,33.0,3.0441499999999735,Total infected derivative,70%
217,34.0,2.185450000000017,Total infected derivative,70%
218,35.0,1.9528500000000122,Total infected derivative,70%
219,36.0,2.0821499999999986,Total infected derivative,70%
220,37.0,2.107200000000006,Total infected derivative,70%
221,38.0,2.1252000000000066,Total infected derivative,70%
222,39.0,2.1202499999999986,Total infected derivative,70%
223,40.0,1.8196499999999816,Total infected derivative,70%
224,41.0,1.3726999999999947,Total infected derivative,70%
225,42.0,1.1964000000000254,Total infected derivative,70%
226,43.0,1.3007000000000062,Total infected derivative,70%
227,44.0,1.335649999999987,Total infected derivative,70%
228,45.0,1.3446500000000015,Total infected derivative,70%
229,46.0,1.373749999999987,Total infected derivative,70%
230,47.0,1.186349999999976,Total infected derivative,70%
231,48.0,0.8597500000000196,Total infected derivative,70%
232,49.0,0.7555500000000137,Total infected derivative,70%
233,50.0,0.8777499999999776,Total infected derivative,70%
234,51.0,0.9469000000000136,Total infected derivative,70%
235,52.0,0.8918000000000035,Total infected derivative,70%
236,53.0,0.9058499999999867,Total infected derivative,70%
237,54.0,0.8086000000000126,Total infected derivative,70%
238,55.0,0.5750000000000028,Total infected derivative,70%
239,56.0,0.5311499999999967,Total infected derivative,70%
240,57.0,0.5983499999999964,Total infected derivative,70%
241,58.0,0.6642499999999956,Total infected derivative,70%
242,59.0,0.6931999999999903,Total infected derivative,70%
243,60.0,,Total infected derivative,70%
