,day,infected,type,type_pretty
142,20.0,64.2146,Infected,40%
143,21.0,62.767500000000005,Infected,40%
144,22.0,59.6574,Infected,40%
145,23.0,57.424899999999994,Infected,40%
146,24.0,55.13220000000001,Infected,40%
147,25.0,53.0921,Infected,40%
148,26.0,51.0541,Infected,40%
149,27.0,48.9339,Infected,40%
150,28.0,45.5171,Infected,40%
151,29.0,42.0461,Infected,40%
152,30.0,38.9879,Infected,40%
153,31.0,36.038000000000004,Infected,40%
154,32.0,33.3487,Infected,40%
155,33.0,30.861700000000003,Infected,40%
156,34.0,28.5651,Infected,40%
157,35.0,25.97,Infected,40%
158,36.0,23.484900000000003,Infected,40%
159,37.0,21.208399999999997,Infected,40%
160,38.0,19.2826,Infected,40%
161,39.0,17.623300000000004,Infected,40%
162,40.0,15.9379,Infected,40%
163,41.0,14.523,Infected,40%
164,42.0,13.0601,Infected,40%
165,43.0,11.7616,Infected,40%
166,44.0,10.6593,Infected,40%
167,45.0,9.635299999999999,Infected,40%
168,46.0,8.699300000000001,Infected,40%
169,47.0,7.9177,Infected,40%
170,48.0,7.1804,Infected,40%
171,49.0,6.4889,Infected,40%
172,50.0,5.8677,Infected,40%
173,51.0,5.4127,Infected,40%
174,52.0,4.8656999999999995,Infected,40%
175,53.0,4.557200000000001,Infected,40%
176,54.0,4.0701,Infected,40%
177,55.0,3.7434999999999996,Infected,40%
178,56.0,3.4429999999999996,Infected,40%
179,57.0,3.2144,Infected,40%
180,58.0,3.0039000000000002,Infected,40%
181,59.0,2.7414,Infected,40%
182,60.0,2.5429999999999997,Infected,40%
183,0.0,0.0,Infected,70%
184,1.0,0.0,Infected,70%
185,2.0,0.5251,Infected,70%
186,3.0,1.4188,Infected,70%
187,4.0,2.6812999999999994,Infected,70%
188,5.0,4.246499999999999,Infected,70%
189,6.0,5.923899999999999,Infected,70%
190,7.0,7.4108,Infected,70%
191,8.0,8.3547,Infected,70%
192,9.0,9.9438,Infected,70%
193,10.0,11.979999999999997,Infected,70%
194,11.0,14.346700000000002,Infected,70%
195,12.0,16.677400000000002,Infected,70%
196,13.0,19.280500000000004,Infected,70%
197,14.0,20.3948,Infected,70%
198,15.0,20.5731,Infected,70%
199,16.0,21.6053,Infected,70%
200,17.0,23.2105,Infected,70%
201,18.0,24.8818,Infected,70%
202,19.0,26.3126,Infected,70%
203,20.0,27.8738,Infected,70%
204,21.0,28.1664,Infected,70%
205,22.0,27.3948,Infected,70%
206,23.0,27.2024,Infected,70%
207,24.0,27.5291,Infected,70%
208,25.0,27.873799999999996,Infected,70%
209,26.0,28.2105,Infected,70%
210,27.0,28.416900000000002,Infected,70%
211,28.0,27.6252,Infected,70%
212,29.0,26.346600000000006,Infected,70%
213,30.0,25.328700000000005,Infected,70%
214,31.0,24.7236,Infected,70%
215,32.0,24.344800000000003,Infected,70%
216,33.0,23.847799999999996,Infected,70%
217,34.0,23.480900000000002,Infected,70%
218,35.0,22.322799999999997,Infected,70%
219,36.0,20.899700000000003,Infected,70%
220,37.0,20.032100000000003,Infected,70%
221,38.0,19.1924,Infected,70%
222,39.0,18.433,Infected,70%
223,40.0,17.8297,Infected,70%
224,41.0,17.2486,Infected,70%
225,42.0,16.3507,Infected,70%
226,43.0,15.244499999999999,Infected,70%
227,44.0,14.312500000000002,Infected,70%
228,45.0,13.7615,Infected,70%
229,46.0,13.138300000000001,Infected,70%
230,47.0,12.495,Infected,70%
231,48.0,12.021999999999998,Infected,70%
232,49.0,11.3488,Infected,70%
233,50.0,10.5272,Infected,70%
234,51.0,9.991900000000001,Infected,70%
235,52.0,9.571100000000001,Infected,70%
236,53.0,9.1784,Infected,70%
237,54.0,8.9199,Infected,70%
238,55.0,8.6433,Infected,70%
239,56.0,8.3267,Infected,70%
240,57.0,7.8738,Infected,70%
241,58.0,7.4428,Infected,70%
242,59.0,7.1423000000000005,Infected,70%
243,60.0,6.8757,Infected,70%
